time,cpu %,mem %
08:59:50,10.0,3.5
08:59:51,15.0,3.5
08:59:52,9.9,3.5
08:59:53,16.0,3.6
08:59:54,12.0,3.6
08:59:55,13.0,3.6
08:59:56,9.0,3.6
08:59:57,15.0,3.6
08:59:58,11.9,3.6
08:59:59,14.0,3.6
09:00:00,63.0,3.7
09:00:01,12.0,3.7
09:00:02,10.0,3.7
09:00:03,10.0,3.7
09:00:04,12.0,3.7
09:00:05,12.9,3.7
09:00:06,22.0,3.7
09:00:07,17.0,3.8
09:00:08,17.0,3.8
09:00:09,15.0,3.8
09:00:10,15.0,3.8
09:00:11,15.8,3.8
09:00:12,13.0,3.8
09:00:13,18.0,3.8
09:00:14,14.0,3.8
09:00:15,16.0,3.8
09:00:16,18.0,3.9
09:00:17,13.9,3.9
09:00:18,18.0,3.9
09:00:19,18.0,3.9
09:00:20,17.0,3.9
09:00:21,16.0,3.9
09:00:22,15.0,3.9
09:00:23,15.8,3.9
09:00:24,19.0,4.0
09:00:25,18.0,4.0
09:00:26,18.0,4.0
09:00:27,18.0,4.0
09:00:28,16.0,4.0
09:00:29,15.0,4.0
09:00:30,12.9,4.0
09:00:31,68.0,4.0
09:00:32,16.0,4.0
09:00:33,13.0,4.0
09:00:34,18.0,4.0
09:00:35,13.9,4.0
09:00:36,14.0,4.0
09:00:37,19.0,4.1
09:00:38,19.0,4.1
09:00:39,72.0,3.9
09:00:40,68.0,3.9
09:00:41,16.8,4.0
09:00:42,15.0,4.0
09:00:43,17.0,4.0
09:00:44,21.0,4.0
09:00:45,15.0,4.0
09:00:46,17.0,4.0
09:00:47,20.8,4.1
09:00:48,13.0,4.1
09:00:49,19.0,4.1
09:00:50,16.0,4.1
09:00:51,14.0,4.1
09:00:52,19.0,4.1
09:00:53,15.8,4.2
09:00:54,19.0,4.2
09:00:55,18.0,4.2
09:00:56,17.0,4.2
09:00:57,17.0,4.3
09:00:58,17.0,4.3
09:00:59,18.0,4.3
09:01:00,17.8,4.3
09:01:01,16.0,4.3
